NTROQUEL	NOMBRE COMERCIAL	PRESENTACION	LABORATORIO	PVP	PSL
9928127	SUBSIDEN	200 mg comp.x 10	Casasco	5	3
9928128	SUBSIDEN	400 mg comp.x 10	Casasco	7	4
9928129	SUBSIDEN	600 mg comp.x 10	Casasco	15	8
5742556	SUNVEX LP	150 mg caps.x 28	Casasco	4412	2206
5742396	SUNVEX LP	37.5 mg caps.x 28	Casasco	4837	2419
5742426	SUNVEX LP	75 mg caps.x 28	Casasco	5680	2840
6522001	SUPRITOS	jbe.x 100 ml	Casasco	3685	1843
652200	SUPRITOS	jbe.x 200 ml	Casasco	3749	1875
3337161	SURTAPLIN	600 mg comp.x 30	Casasco	35	18
4015391	TELEDOL	10 mg comp.x 10	Casasco	14	7
4015392	TELEDOL	10 mg comp.x 20	Casasco	134	67
4015471	TELEDOL	20 mg comp.x 10	Casasco	739	370
4015472	TELEDOL	20 mg comp.x 20	Casasco	1417	709
4015511	TELEDOL	30 mg amp.x 3 x 2 ml	Casasco	686	343
5644711	TELEDOL	60 mg amp.x 3 x 2 ml	Casasco	100	50
5644841	TELEDOL SL	10 mg comp.subl.x 10	Casasco	1897	949
9936182	TENCAS	10 mg comp.x 100	Casasco	573	287
3649773	TENCAS	10 mg comp.x 20	Casasco	29	15
3649771	TENCAS	10 mg comp.x 30	Casasco	819	410
3649774	TENCAS	10 mg comp.x 50	Casasco	3264	1632
3649772	TENCAS	10 mg comp.x 60	Casasco	2535	1268
3649853	TENCAS	20 mg comp.x 20	Casasco	38	19
3649851	TENCAS	20 mg comp.x 30	Casasco	1093	547
3649854	TENCAS	20 mg comp.x 50	Casasco	3941	1971
9954362	TENCAS	5 mg comp.x 100	Casasco	272	136
5220743	TENCAS	5 mg comp.x 20	Casasco	19	10
5220741	TENCAS	5 mg comp.x 30	Casasco	594	297
5220744	TENCAS	5 mg comp.x 50	Casasco	1435	718
5220742	TENCAS	5 mg comp.x 60	Casasco	1068	534
5449131	TENCAS D	10/25 mg comp.x 30	Casasco	1516	758
5449261	TENCAS D	20/12.5 mg comp.x 30	Casasco	2124	1062
4066461	TIARIX	20 mg comp.x 10	Casasco	77	39
4066462	TIARIX	20 mg comp.x 30	Casasco	8320	4160
406646	TIARIX	20 mg comp.x 60	Casasco	6727	3364
5205151	TIARIX 10	10 mg comp.rec.x 30	Casasco	3066	1533
5848712	TIARIX CR	12.5 mg comp.x 30	Casasco	2608	1304
5848842	TIARIX CR	25 mg comp.x 30	Casasco	2769	1385
6217134	TINACTOL	600 mg comp.x 30	Casasco	7382	3691
6153712	TOFLUX	200 mg sob.x 20	Casasco	2057	1029
6153841	TOFLUX	600 mg sob.x 10	Casasco	1589	795
6153842	TOFLUX	600 mg sob.x 20	Casasco	4481	2241
6153971	TOFLUX JARABE	jbe.x 100 ml	Casasco	2398	1199
4173621	TREXBIOTIC	500 mg comp.rec.x 3	Casasco	1967	984
4173622	TREXBIOTIC	500 mg comp.rec.x 6	Casasco	4776	2388
4173621	TREXBIOTIC	500 mg comp.x 3	Casasco	94	47
4173701	TREXBIOTIC	susp.oral x 15 ml	Casasco	1769	885
4173702	TREXBIOTIC	susp.oral x 30 ml	Casasco	4163	2082
3229831	TRIPT OH	100 mg caps.x 20	Casasco	62	31
3229751	TRIPT OH	25 mg sob.x 20	Casasco	62	31
6689972	UNITOS	Ad.jbe.x 100 ml	Casasco	1259	630
6690001	UNITOS	Ped.jbe.x 100 ml	Casasco	1770	885
5866842	URALOS CR	0.4 mg comp.x 30	Casasco	3541	1771
586684	URALOS CR	0.4 mg comp.x 60	Casasco	12237	6119
6429711	URALOS MAX	6mg/0.4mg comp.x30	Casasco	7100	3550
6154551	UROKIT	comp.lib.prol.x 30	Casasco	4500	2250
6154552	UROKIT	comp.lib.prol.x 60	Casasco	8974	4487
3115801	UROKIT	sob.x 20	Casasco	65	33
3115804	UROKIT	sob.x 40	Casasco	5376	2688
3115803	UROKIT	sob.x 60	Casasco	8165	4083
6547264	UROVAL	25 mg comp.lib.prol.x 30	Casasco	10708	5354
6547394	UROVAL	50 mg comp.lib.prol.x 30	Casasco	8863	4432
9910216	VABUC	250 mg iny.a.x 4	Casasco	41	21
9910217	VABUC	500 mg iny.a.x 4	Casasco	108	54
3318771	VABUC	comp.x 30	Casasco	165	83
9910215	VABUC	gts.x 30 ml	Casasco	199	100
190511	VACUNA LIOFILIZADA CASASCO	Broncopulm.a.ser.x 5	Casasco	259	130
189121	VACUNA LIOFILIZADA CASASCO	Broncopulm.f.a.x 10 ml	Casasco	199	100
189381	VACUNA LIOFILIZADA CASASCO	Piodermitis f.a.x 10 ml	Casasco	221	111
2577341	VACUNA ORAL CASASCO	comp.x 20	Casasco	115	58
2577342	VACUNA ORAL CASASCO	comp.x 30	Casasco	3199	1600
189961	VACUNA ORAL CASASCO	fco.gotero x 15 ml	Casasco	33	17
189962	VACUNA ORAL CASASCO	fco.gotero x 30 ml	Casasco	3789	1895
2021352	VACUNACE	sob.x 20	Casasco	3574	1787
2021353	VACUNACE	sob.x 30	Casasco	5104	2552
4217691	VALCAS	100 mg comp.x 10	Casasco	63	32
4217771	VALCAS	200 mg comp.x 10	Casasco	143	72
6048003	VALCAS	250 mg comp.x 50	Casasco	2446	1223
4217511	VALCAS	50 mg comp.x 10	Casasco	25	13
6048133	VALCAS	500 mg comp.x 50	Casasco	4687	2344
4470961	VAROTEN	1.25 mg caps.x 30	Casasco	24	12
4471031	VAROTEN	2.5 mg caps.x 30	Casasco	52	26
4471032	VAROTEN	2.5 mg caps.x 60	Casasco	54	27
4471111	VAROTEN	5 mg caps.x 30	Casasco	60	30
6250265	VELDEX	50 mg comp.x 30	Casasco	4531	2266
4714411	VENART	caps.x 30	Casasco	4461	2231
4714413	VENART	caps.x 40	Casasco	170	85
4714412	VENART	caps.x 60	Casasco	5799	2900
5505421	VENART	cr.x 30 g	Casasco	2605	1303
5505422	VENART	cr.x 60 g	Casasco	4715	2358
3078361	VIMOTADINE	1.5 mg comp.x 20	Casasco	1655	828
3078442	VIMOTADINE	4.5 mg comp.x 30	Casasco	7764	3882
3247651	YUBERON	250 mg comp.x 50	Casasco	10	5
3247731	YUBERON	500 mg comp.x 40	Casasco	37	19
5684264	ZOXX 100	100 mg comp.rec.x 30	Casasco	4705	2353
568426	ZOXX 100	100 mg comp.rec.x 60	Casasco	16841	8421
5684132	ZOXX 50	50 mg comp.rec.x 15	Casasco	77	39
5684134	ZOXX 50	50 mg comp.rec.x 30	Casasco	2852	1426
568413	ZOXX 50	50 mg comp.rec.x 60	Casasco	5926	2963
9956232	AEROMED CASSARA	espaciador p/aerosol x 1	Cassar 	3313	1657
5827006	AEROTROP	aer.HFA x 250 ds	Cassar 	2108	1054
5179235	AEROTROP	aer.x 250 ds.+adapt.buc.	Cassar 	35	18
4897413	AEROTROP	sol.neb.x24 unid.x 2.5ml	Cassar 	3147	1574
5850396	AEROTROP	spray nasal x 120 dosis	Cassar 	1378	689
6598842	AEROTROP NEBU	sol. p/nebul.x 20 ml	Cassar 	372	186
4051432	AG-B 10	10 mcg susp.iny.x1x0.5ml	Cassar 	773	387
4051437	AG-B 10 UNIJECT	10mcg jga.prell.x1x0.5ml	Cassar 	8	4
4051431	AG-B 20	susp.iny.f.a.x 1 x 1 ml	Cassar 	1406	703
4051433	AG-B 20 UNIJECT	20mcg jga.prell.x1 x 1ml	Cassar 	28	14
4757321	ALBULAIR	sol.p/inhalar x 60 ml	Cassar 	22	11
9923060	ALFABASE	cr.x 75 g	Cassar 	2696	1348
9923061	ALFABASE	emuls.x 150 g	Cassar 	1530	765
9923062	ALFABASE 8	cr.x 60 g	Cassar 	2349	1175
4772252	ALFACORT	1% cr.x 30 g	Cassar 	1786	893
4772413	ALFACORT	1% emuls.x 100 ml	Cassar 	4524	2262
4772411	ALFACORT	1% emuls.x 15 ml	Cassar 	910	455
2875913	ALFACORT	ung.est‚ril x 5 g	Cassar 	1261	631
2875912	ALFACORT UNIDOSIS	env.x 20 unidosis	Cassar 	1687	844
3636143	AMOXOL 500	pvo.p/susp.oral x 120 ml	Cassar 	1273	637
3636141	AMOXOL 500	pvo.p/susp.oral x 60 ml	Cassar 	97	49
3636142	AMOXOL 500	pvo.p/susp.oral x 90 ml	Cassar 	1015	508
5851391	AMOXOL DUO	pvo.p/susp.oral x 70 ml	Cassar 	352	176
6583552	ANAGEN 5%	Espuma d‚rmica x 60 g	Cassar 	4957	2479
9938250	ANAGEN 5%	loc.capilar x 100 ml	Cassar 	2269	1135
5221295	ASMOPUL 100	100mcg aer.x250ds.+adap.	Cassar 	18	9
9932901	ASPIMED	comp.x 100 (10 x 10)	Cassar 	12	6
5332552	ATOPIX	comp.rec.x 20	Cassar 	1184	592
5332682	ATOPIX	gts.x 20 ml	Cassar 	907	454
9959050	ATOPIX 50	prot.solar mineral x 15g	Cassar 	1833	917
9959049	ATOPIX 50	prot.solar mineral x100g	Cassar 	3286	1643
9954839	ATOPIX CREMA	env.x 150 g	Cassar 	3325	1663
9954840	ATOPIX EMULSION	env.x 200 g	Cassar 	3102	1551
9955262	ATOPIX ESPUMA DE LIMPIEZA	env.x 130 ml	Cassar 	2324	1162
6555392	ATOPIX L	comp.x 20	Cassar 	1398	699
9956452	ATOPIX PASTA	env.x 60 g	Cassar 	1554	777
9958690	ATOPIX UNGUENTO	env.x 15 g	Cassar 	1276	638
6473002	AXNE 0.1%	0.1% gel x 30 g	Cassar 	981	491
6473132	AXNE 0.3%	0.3% gel x 30 g	Cassar 	3745	1873
5257547	BETACORT CASSARA	gts.x 30 ml	Cassar 	645	323
5156011	BETACORT PLUS	cr.d‚rmica x 20 g	Cassar 	8	4
6193394	BETACORT PLUS CASSARA	cr.d‚rmica x 25 g	Cassar 	1188	594
9957969	BIOCASS PROTEC	c ps.x 30	Cassar 	7955	3978
9959402	BIOZINC D	comp. p/disolver x 10	Cassar 	559	280
9959403	BIOZINC D	comp. p/disolver x 30	Cassar 	2311	1156
9957934	BUCATRAL	spray bucal x 50 ml	Cassar 	1163	582
3978372	BUTOCORT	aer.x 250 dosis	Cassar 	33	17
5579133	BUTOCORT HFA	aer.x 250 dosis	Cassar 	975	488
4329063	CEFADROX	500 mg comp.rec.x 10	Cassar 	1570	785
2996672	CEFADROX 250	250 mg/5 ml susp.x 90 ml	Cassar 	29	15
6286468	CEFADROX 250	250 mg/5 ml susp.x 90 ml	Cassar 	1167	584
4551141	CERUMEX	gts.¢ticas x 5 ml	Cassar 	413	207
5817552	CLAMOXOL BIO	pvo.p/susp.ext.+10 caps.	Cassar 	74	37
4836602	CLAMOXOL DUO	susp.x 140 ml	Cassar 	1181	591
4836601	CLAMOXOL DUO	susp.x 70 ml	Cassar 	882	441
5051562	CLIDAN	gel d‚rm.x 15 g	Cassar 	1381	691
5894553	CLIDAN 300	c ps. x 16	Cassar 	1408	704
5081282	CLIDAN B	gel x 30 g	Cassar 	2319	1160
3683331	CLIDAN LOCION	loc.x 100 ml	Cassar 	2463	1232
5118113	DELTACORT	40 mg comp.x 20	Cassar 	5843	2922
5117912	DELTACORT	8 mg comp.x 10	Cassar 	275	138
4608161	DERMASEB	loc.dermica gelif.x 30 g	Cassar 	1828	914
9928236	DERMASEB	loc.x 30 ml	Cassar 	40	20
6672262	DUOTEX	gel x 30 g	Cassar 	4985	2493
6672392	DUOTEX FORTE	gel x 30 g	Cassar 	4241	2121
9942722	EPOGEN	1000 UI f.a.x 1 x 0.5 ml	Cassar 	33	17
4166371	EPOGEN	1000 UI f.a.x 1 x 2 ml	Cassar 	33	17
4166452	EPOGEN	2000 UI f.a.x 1 x 1 ml	Cassar 	2330	1165
4166451	EPOGEN	2000 UI f.a.x 1 x 2 ml	Cassar 	55	28
5752971	EPOGEN	4000 UI f.a.x 1 x 1 ml	Cassar 	5573	2787
4166531	EPOGEN	4000 UI f.a.x 1 x 2 ml	Cassar 	91	46
9925127	ERIMICIN	gel t¢pico x 30 g	Cassar 	48	24
4649832	ERIMICIN	gel t¢pico x 30 g	Cassar 	1714	857
6339396	ERISOL	4% gel x 30 g	Cassar 	1843	922
195482	ESODAR	susp.est.x 10 ml	Cassar 	1973	987
4029332	EUMICEL	2% shamp.x 100 ml	Cassar 	1324	662
4029336	EUMICEL COLAGENO	2% shamp.x 120 ml	Cassar 	2004	1002
5315133	EUMICEL S	2% shamp.x 120 ml	Cassar 	3783	1892
6284972	FLUCODERM	150 mg comp.ran.x 2	Cassar 	393	197
6284973	FLUCODERM	150 mg comp.ran.x 4	Cassar 	2896	1448
5972424	FLUTICORT	125 mcg aer.HFA x 120ds.	Cassar 	3271	1636
5210192	FLUTICORT	125 mcg aer.x 120 dosis	Cassar 	129	65
5972554	FLUTICORT	250 mcg aer.HFA x 120ds.	Cassar 	2929	1465
5210242	FLUTICORT	250 mcg aer.x 120 dosis	Cassar 	86	43
5210033	FLUTICORT	50 mcg aer.x 150 dosis	Cassar 	85	43
5210311	FLUTICORT	50 mcg spray nas.x 60 ds	Cassar 	797	399
5210312	FLUTICORT	50 mcg spray nas.x120 ds	Cassar 	2056	1028
5313423	FLUTIVENT	25/125 mcg dosis x 150	Cassar 	145	73
5313421	FLUTIVENT	25/125 mcg dosis x 60	Cassar 	45	23
5313553	FLUTIVENT	25/250 mcg dosis x 150	Cassar 	78	39
5313551	FLUTIVENT	25/250 mcg dosis x 60	Cassar 	38	19
6041974	FLUTIVENT HFA	125/25 mcg dosis x 120	Cassar 	3582	1791
6041971	FLUTIVENT HFA	125/25 mcg dosis x 60	Cassar 	2120	1060
6042004	FLUTIVENT HFA	250/25 mcg dosis x 120	Cassar 	3511	1756
6042001	FLUTIVENT HFA	250/25 mcg dosis x 60	Cassar 	1661	831
5762973	FLUTIVENT+AEROMED	25/125mcg ds.x150+espac.	Cassar 	229	115
6090135	FLUTIVENT+AEROMED HFA	125/25mcg ds.x150+espac.	Cassar 	4227	2114
9955263	FORTILAC	laca x 7 ml+pincel aplic	Cassar 	3369	1685
9933299	FOTOSOL	emuls.x 50 g	Cassar 	80	40
9960261	FOTOSOL PLANO	cr.x 30 g	Cassar 	3392	1696
9934809	FOTOSOL ULTRA	cr.x 30 g	Cassar 	74	37
9934808	FOTOSOL ULTRA	emuls.x 100 g	Cassar 	97	49
9946107	FOTOSOL ULTRA 50	aer.(spray) x 180ml/167g	Cassar 	78	39
9940985	FOTOSOL ULTRA 50	cr.x 50 g	Cassar 	246	123
9950926	FOTOSOL ULTRA 50+	cr.x 50 g	Cassar 	2759	1380
9951002	FOTOSOL ULTRA 50+ SPRAY	spray continuo x 150 ml	Cassar 	3192	1596
9939340	FOTOSOL ULTRA AUTOBRONCEANTE	emuls.x 100 g	Cassar 	100	50
9951441	FOTOSOL ULTRA CASSARA	cr.x 30 g	Cassar 	948	474
9951442	FOTOSOL ULTRA CASSARA	emuls.x 100 g	Cassar 	2711	1356
9949393	FOTOSOL ULTRA SPRAY	aer.(spray) x 80ml/70g	Cassar 	358	179
2961201	FTDA	100 mg comp.x 60	Cassar 	65	33
2961041	FTDA	250 mg comp.x 60	Cassar 	102	51
3129923	FTDA	400 mg comp.x 60	Cassar 	135	68
4913401	FUSIMED	2% cr.x 15 g	Cassar 	1788	894
4228582	FUSIMED B	emuls.x 50 g	Cassar 	3072	1536
4228581	FUSIMED B OTONASAL	emuls.x 15 g	Cassar 	1518	759
5888392	GASTROCALM	gts.x 20 ml	Cassar 	1231	616
5843002	GENTACORT PLUS	cr.d‚rm.x 20 g	Cassar 	262	131
6548422	GERMILISIN	espuma x 130 ml	Cassar 	1830	915
9938718	GUAIFEN	jbe.x 100 ml	Cassar 	8	4
4863171	HYPERSOL	3% spray nasal x 25 ml	Cassar 	509	255
4867130	HYPERSOL	3% spray nasal x 28 ml	Cassar 	32	16
4863172	HYPERSOL	3% spray nasal x 45 ml	Cassar 	1770	885
4863174	HYPERSOL	sol.x 75 ml	Cassar 	21	11
4877951	HYPERSOL B 100	spray nasal x 100 dosis	Cassar 	1574	787
4877873	HYPERSOL B 50	spray nasal x 200 dosis	Cassar 	1632	816
6115392	HYPERSOL GOTAS	sol.hipertonica x 7.5ml	Cassar 	664	332
6183396	HYPERSOL NEBU	sol.neb.unids.est‚r.x 12	Cassar 	3053	1527
9947368	HYPERSOL SOLUCION	3%sol.esterilx12mds.x5ml	Cassar 	2675	1338
4863173	HYPERSOL UNIDOSIS	unidosis est‚riles x 25	Cassar 	1276	638
5684551	IBUSOL	gts. x 20 ml	Cassar 	406	203
9949177	IBUSOL ANANA	forte susp.x 100 ml	Cassar 	21	11
5020405	IBUSOL ANANA	pedi trico susp.x 100 ml	Cassar 	21	11
5689689	IBUSOL FORTE	susp.x 100 ml	Cassar 	442	221
5020403	IBUSOL PEDIATRICO	susp.x 100 ml	Cassar 	391	196
4979962	IRA 250	250 mg comp.x 20	Cassar 	46	23
4980031	IRA 500	500 mg comp.x 10	Cassar 	73	37
4980032	IRA 500	500 mg comp.x 20	Cassar 	126	63
5973131	IRONCAS	sol.iny.x 1 x 5 ml	Cassar 	2970	1485
4645033	ITRAC 100	caps.x 15	Cassar 	2809	1405
4645031	ITRAC 100	caps.x 4	Cassar 	15	8
6022265	ITRAC 200	caps.x 14	Cassar 	6235	3118
6466712	IVERCASS	comp.x 4	Cassar 	982	491
9955128	IVERCASS	sol.oral gtas.x 20 ml	Cassar 	2331	1166
6439682	IVERCREM	1% cr.x 30 g.	Cassar 	4924	2462
5167741	KERATOPIC 40	cr.x 15 g	Cassar 	1017	509
9926468	LACTIDERM	emuls.x 50 g	Cassar 	301	151
9929102	LACTIDERM HC	cr.x 30 g	Cassar 	5	3
3711042	LICEND	0.5% loci¢n x 60 g	Cassar 	1595	798
4138071	LYNDAN	loc.x 60 ml	Cassar 	12	6
6081841	LYNDAN NF	loc.x 60 ml	Cassar 	426	213
4602884	MACODERM	pasta d‚rm.x 60 g	Cassar 	2366	1183
3681932	MEDIFER	gts.beb.x 20 ml	Cassar 	4	2
4895011	METRAL	1% cr.x 30 g	Cassar 	1104	552
6647420	MICOFORTILAC	laca p/u¤as x 5 ml	Cassar 	6261	3131
9932424	MICOSEP	cr.d‚rm.x 30 g	Cassar 	55	28
5080732	MICOSEP	cr.d‚rm.x 30 g	Cassar 	566	283
5080891	MICOSEP	pasta d‚rm.x 30 g	Cassar 	807	404
5081071	MICOSEP	polvo x 30 g	Cassar 	1502	751
5091834	MICOSEP B	cr.d‚rm.x 30 g	Cassar 	1960	980
9934507	MICOSEP B	cr.x 30 g	Cassar 	57	29
5081122	MICOSEP DEO	aer.x 110 g	Cassar 	957	479
4782811	MICOSOL	cr.x 15 g	Cassar 	400	200
4783061	MICOSOL	loc.x 30 ml	Cassar 	1083	542
5701424	MODULCASS	5% cr.derm.x 10 g	Cassar 	5459	2730
5701421	MODULCASS	5% cr.derm.x 3 g	Cassar 	2050	1025
5029052	MOXIBASE	400 mg comp.rec.x 10	Cassar 	6521	3261
9947505	NASITRAL	sol.humect.est‚rilx 10ml	Cassar 	72	36
6259973	NASITRAL	spray nasal est. x 10ml	Cassar 	1390	695
6259976	NASITRAL	spray nasal est. x 25ml	Cassar 	1627	814
9923065	NEOQUIN	gel x 40 g	Cassar 	15	8
5102001	NEOQUIN	gel x 40 g	Cassar 	1513	757
4017371	NEOQUIN FORTE	cr.x 20 g	Cassar 	3001	1501
4017372	NEOQUIN FORTE	cr.x 30 g	Cassar 	40	20
9930636	NEOSTATIN	susp.oral x 60 ml	Cassar 	9	5
3264481	NEOSTATIN	ung.x 30 g	Cassar 	484	242
4204062	NEOTRETIN D	0.005% cr.x 30 g	Cassar 	1319	660
4204063	NEOTRETIN D UNIDOSIS	0.005% cr.x 20 unidosis	Cassar 	49	25
4204222	NEOTRETIN F	0.050% cr.x 30 g	Cassar 	2913	1457
4204142	NEOTRETIN M	0.025% cr.x 30 g	Cassar 	2660	1330
4457773	NEUMOCORT	200 mcg aer.x 200 dosis	Cassar 	47	24
6079396	NEUMOCORT + AEROMED	200 mcg HFA aer.x 200ds.	Cassar 	3316	1658
4457771	NEUMOCORT BOR	200 mcg aer.+aerom.x60ds	Cassar 	168	84
5962681	NEUMOCORT BOR HFA	200 mcg aer.+aerom.x60ds	Cassar 	481	241
4457778	NEUMOCORT C/AEROMED	200 mcg aer.x 200 dosis	Cassar 	47	24
4457852	NEUMOCORT FORTE	400 mcg aer.x 150 dosis	Cassar 	94	47
5962682	NEUMOCORT HFA	200 mcg aer.x 200 dosis	Cassar 	2572	1286
6274715	NEUMOCORT PLUS	aer./inhal.x 150 ds.	Cassar 	3119	1560
6274711	NEUMOCORT PLUS	aer./inhal.x 60 ds.	Cassar 	1648	824
6497711	NEUMOCORT PLUS	c ps.c/pvo.inh. x 60	Cassar 	7977	3989
6497712	NEUMOCORT PLUS	c ps.c/pvo.inh.+apl.x 60	Cassar 	12367	6184
6497713	NEUMOCORT PLUS	c ps.c/pvo.inh.+apl.x120	Cassar 	16230	8115
9958185	NIACIDER	comp.rec. x 30	Cassar 	5464	2732
5606421	NIUX	spray nasal x 200 ds.	Cassar 	1871	936
6128843	OILSOR	Champu x 100 ml	Cassar 	2273	1137
3815412	OTOCLEAN GOTAS OTICAS	gts.¢ticas x 10 ml	Cassar 	1069	535
4502551	OTOFLOX	gts.¢ticas x 10 ml	Cassar 	2438	1219
5368001	OXILER D	spray x 10 ml	Cassar 	1074	537
9928027	PITIRIAX	shamp.x 100 ml	Cassar 	1026	513
5047284	PLUS A	loc.x 60 ml	Cassar 	2320	1160
9944101	PLUSCAL MOUSSE	emuls.x 40 dosis	Cassar 	1011	506
6309979	PLUSCAL MOUSSE VAINILLA	Aerosol x 240 gr/215 ml	Cassar 	3187	1594
5152461	PODOXIN	gel x 5 g	Cassar 	2345	1173
4211231	PODOXIN	sol.t¢pica x 3.5 ml	Cassar 	1667	834
9957970	POLIMIX	pvo. sob. x 16 x 1 g	Cassar 	4800	2400
9955550	PREVENT	spray x 160 ml	Cassar 	828	414
6457393	PROPADER	sol.oral x 100 ml	Cassar 	2345	1173
9945058	RAPI-BETACORT	iny.f.a.x 1 x 2 ml	Cassar 	7	4
5865132	RAPI-DEXACORT	sol.iny.x 2 ml	Cassar 	17	9
6268421	RECUPEL	comp.x 60	Cassar 	4771	2386
9959683	RECUPLUS	comp.rec. x 60	Cassar 	3447	1724
6366392	REPAK	gel x 30 g	Cassar 	1851	926
4457691	RINO-B 100	aerosol x 200 dosis	Cassar 	59	30
4022302	RINOGEL	gel nasal x 15 ml	Cassar 	1036	518
3835451	RINOSOL	susp.nasal x 200 dosis	Cassar 	844	422
6550682	RUBOX	1% cr.x 30 g	Cassar 	2931	1466
9943275	SALBUTRAL	100 mcg aer.x 250 dosis	Cassar 	13	7
9930361	SALBUTRAL	aer.inhal.c/aplic.x250ds	Cassar 	6	3
5467394	SALBUTRAL	aer.x 250 dosis	Cassar 	1920	960
5221415	SALBUTRAL AC	aer.x 250 dosis	Cassar 	23	12
4863333	SALBUTRAL AC	sol.p/neb.unid.x24x2.5ml	Cassar 	3912	1956
6215429	SALBUTRAL AC HFA	aer.x 250 dosis	Cassar 	1839	920
4863252	SALBUTRAL AC NEBU	sol. p/nebul.x 20 ml	Cassar 	221	111
4016622	SALBUTRAL AEROSOL	100 mcg/ds.aer.x 12.5ml	Cassar 	18	9
4016624	SALBUTRAL C/AEROMED	aer.HFA x 250 dosis	Cassar 	2513	1257
4016628	SALBUTRAL C/AEROMED	aer.inhal.x 250 dosis	Cassar 	48	24
4855171	SALICORT	ung.x 30 g	Cassar 	6	3
5112662	SALICORT CAPILAR	loc.x 30 ml	Cassar 	477	239
9926461	SINALER	10 mg comp.x 10	Cassar 	43	22
9924229	SINALER	10 mg comp.x 20	Cassar 	91	46
6328552	SINALER	5 mg comp.x 20	Cassar 	1378	689
4570871	SINALER	jbe.x 50 ml	Cassar 	68	34
4594972	SINALER B	comp.x 20	Cassar 	1880	940
4595043	SINALER B	jbe.x 50 ml	Cassar 	779	390
2276542	SINALER D	caps.x 10	Cassar 	1139	570
5971133	SUAVICORT	cr.x 20 g	Cassar 	1494	747
5971132	SUAVICORT	pomo x 15 g	Cassar 	684	342
5971266	SUAVICORT	spray nasal x 150 ds.	Cassar 	4596	2298
5971002	SUAVICORT	spray nasal x 60 ds.	Cassar 	537	269
194231	SUMMAVAC M	iny.a.x 8	Cassar 	5041	2521
2299731	SUMMAVAC ORAL	glosetas x 30	Cassar 	46	23
2299652	SUMMAVAC ORAL	gts.subling.x 4 ml	Cassar 	91	46
197961	SUMMAVAC P	iny.a.x 8	Cassar 	3240	1620
5078963	SUMMAVAC R	comp.x 12	Cassar 	8879	4440
5171761	SUPERVAX (Vac.contra hepatitis B coadyuvada)	20 mcg/ml susp.iny.	Cassar 	164	82
9939037	TOBRAMICINA CASSARA	sol.p/inh.fco.amp.x 56	Cassar 	24479	12240
9953723	TREAT	mousse x 130 ml	Cassar 	1074	537
9931809	TRICOMAX	caps.x 30	Cassar 	3625	1813
9940935	TRICOMAX	loci¢n folicular x 30 ml	Cassar 	1843	922
9940474	TRICOMAX 2	caps.x 90	Cassar 	3234	1617
6383973	VERRUKID PEDIATRICO	gel l¡q.x 10 g	Cassar 	2008	1004
6235393	VIROSTATIC 800	comp.x 20	Cassar 	3622	1811
5535261	VITASOL F	fco.gotero x 30 ml	Cassar 	764	382
5274542	VIXALERG	comp.x 10	Cassar 	341	171
5167534	XEROBASE	emuls.x 100 g	Cassar 	2342	1171
5167693	XEROBASE 20	cr.x 100 g	Cassar 	21	11
5167691	XEROBASE 20	cr.x 30 g	Cassar 	1481	741
4672922	XYLISOL	spray nasal x 25 ml	Cassar 	1323	662
4672926	XYLISOL LAVAJE NASAL	lavaje nasal x 100 ml	Cassar 	4127	2064
2237271	AFEME	comp.x 20	Cetus	1196	598
4693131	ANTASTEN	25 mg comp.x 20	Cetus	6	3
199523	ARNOL 720-T	comp.rec.x 10	Cetus	70	35
199521	ARNOL 720-T	comp.rec.x 30	Cetus	1647	824
199522	ARNOL 720-T	comp.rec.x 60	Cetus	5370	2685
9914942	ASTEMIZOL CETUS	comp.x 10	Cetus	7	4
3597561	ATENOLOL CETUS	100 mg comp.x 14	Cetus	11	6
3597562	ATENOLOL CETUS	100 mg comp.x 28	Cetus	27	14
3587481	ATENOLOL CETUS	50 mg comp.x 14	Cetus	8	4
3587482	ATENOLOL CETUS	50 mg comp.x 28	Cetus	10	5
200323	BELLATOTAL	gts.x 40 ml	Cetus	44	22
2805031	BELMALEN	comp.rec.x 20	Cetus	3409	1705
4378071	BELMALEN PLUS	sob.x 15	Cetus	168	84
4378072	BELMALEN PLUS	sob.x 30	Cetus	3396	1698
3587221	BESTROL	0.5 mg comp.x 20	Cetus	618	309
4252081	BESTROL	0.5 mg comp.x 40	Cetus	668	334
3587223	BESTROL	0.5 mg comp.x 60	Cetus	1390	695
3587301	BESTROL	1 mg comp.x 20	Cetus	676	338
4252161	BESTROL	1 mg comp.x 40	Cetus	1618	809
3587303	BESTROL	1 mg comp.x 60	Cetus	2558	1279
4480022	BICROMIL	100 mg comp.x 30	Cetus	602	301
4479972	BICROMIL	50 mg comp.x 30	Cetus	4689	2345
175514	BITECAIN A.A.	comp.x 20	Cetus	2032	1016
199282	CESALGIN	comp.x 20	Cetus	5	3
199941	CESALGIN	gts.x 20 ml	Cetus	7	4
3828961	CETIRIZINA CETUS	comp.x 10	Cetus	1026	513
2371401	COMITER	comp.x 20	Cetus	42	21
105541	COMITER	gran.sob.x 20	Cetus	75	38
2368291	COMITER	jbe.x 150 ml	Cetus	45	23
2805111	CORIZINA CETUS	grag.x 12	Cetus	1343	672
202222	CUADEL	10 mg comp.x 20	Cetus	772	386
200902	CUADEL	5 mg comp.x 20	Cetus	428	214
